2020-2-22 18:43:52 | BID DONE | Sanbay Elben | 14400 uah | http://sokker.org/player/PID/37312795 | skill: 79 
2020-2-22 19:11:40 | BID DONE | Eros Carrara | 27200 uah | http://sokker.org/player/PID/37154110 | skill: 83 
2020-2-22 19:14:53 | BID DONE | Eros Carrara | 43200 uah | http://sokker.org/player/PID/37154110 | skill: 83 
2020-2-22 19:14:59 | BID DONE | Marin Chiţul | 393600 uah | http://sokker.org/player/PID/36064742 | skill: 82 
2020-2-22 19:18:08 | BID DONE | Marin Chiţul | 473600 uah | http://sokker.org/player/PID/36064742 | skill: 82 
2020-2-22 19:21:20 | BID DONE | Marin Chiţul | 577600 uah | http://sokker.org/player/PID/36064742 | skill: 82 
2020-2-22 19:27:49 | BID DONE | Creisson Athirson | 259200 uah | http://sokker.org/player/PID/36888415 | skill: 88 
2020-2-22 19:31:07 | BID DONE | Creisson Athirson | 444800 uah | http://sokker.org/player/PID/36888415 | skill: 88 
2020-2-22 19:31:11 | BID DONE | Huko Saarma | 30400 uah | http://sokker.org/player/PID/37314492 | skill: 80 
2020-2-22 19:34:16 | BID DONE | Huko Saarma | 46400 uah | http://sokker.org/player/PID/37314492 | skill: 80 
2020-2-22 19:43:18 | BID DONE | Everardo Annone | 40000 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 19:47:10 | BID DONE | Everardo Annone | 56000 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 19:51:07 | BID DONE | Everardo Annone | 72000 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 19:52:59 | BID DONE | Everardo Annone | 88000 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 19:55:02 | BID DONE | Everardo Annone | 152000 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 19:56:55 | BID DONE | Everardo Annone | 184000 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 19:58:53 | BID DONE | Everardo Annone | 353600 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 20:00:53 | BID DONE | Everardo Annone | 483200 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 20:02:48 | BID DONE | Everardo Annone | 563200 uah | http://sokker.org/player/PID/36221515 | skill: 80 
2020-2-22 20:08:51 | BID DONE | Igor Hostinský | 318400 uah | http://sokker.org/player/PID/36614733 | skill: 81 
2020-2-22 20:10:49 | BID DONE | Eser Saklambaç | 33600 uah | http://sokker.org/player/PID/37314342 | skill: 81 
2020-2-22 20:14:30 | BID DONE | Igor Hostinský | 334400 uah | http://sokker.org/player/PID/36614733 | skill: 81 
2020-2-22 20:34:02 | BID DONE | Jordan MacNicol | 264000 uah | http://sokker.org/player/PID/37312723 | skill: 81 
2020-2-22 20:35:59 | BID DONE | Jordan MacNicol | 336000 uah | http://sokker.org/player/PID/37312723 | skill: 81 
2020-2-22 20:37:49 | BID DONE | Jordan MacNicol | 417600 uah | http://sokker.org/player/PID/37312723 | skill: 81 
2020-2-22 20:39:53 | BID DONE | Jordan MacNicol | 500800 uah | http://sokker.org/player/PID/37312723 | skill: 81 
